id058,angle045-x0000,y0000
id058,angle090-x0000,y0000
id058,angle135-x0822,y1354
id058,angle180-x0739,y1388
id058,angle225-x0000,y0000
id058,angle270-x0000,y0000
id058,angle315-x0000,y0000
id059,angle000-x0000,y0000
id059,angle045-x0000,y0000
id059,angle090-x0000,y0000
id059,angle135-x0843,y1351
id059,angle180-x0776,y1403
id059,angle225-x0605,y1419
id059,angle270-x0316,y1404
id059,angle315-x0000,y0000
id060,angle000-x0000,y0000
id060,angle045-x0000,y0000
id060,angle090-x0000,y0000
id060,angle135-x0000,y0000
id060,angle180-x0821,y1384
id060,angle225-x0676,y1417
id060,angle270-x0367,y1411
id060,angle315-x0238,y1364
id061,angle000-x0000,y0000
id061,angle045-x0000,y0000
id061,angle090-x0000,y0000
id061,angle135-x0000,y0000
id061,angle180-x0820,y1407
id061,angle225-x0709,y1446
id061,angle270-x0417,y1448
id061,angle315-x0264,y1403
id062,angle000-x0000,y0000
id062,angle045-x0000,y0000
id062,angle090-x0000,y0000
id062,angle135-x0000,y0000
id062,angle180-x0000,y0000
id062,angle225-x0692,y1411
id062,angle270-x0464,y1427
id062,angle315-x0000,y0000
id063,angle000-x0000,y0000
id063,angle045-x0000,y0000
id063,angle090-x0000,y0000
id063,angle135-x0000,y0000
id063,angle180-x0828,y1382
id063,angle225-x0761,y1415
id063,angle270-x0501,y1449
id063,angle315-x0304,y1412
id064,angle000-x0300,y1379
id064,angle045-x0000,y0000
id064,angle090-x0000,y0000
id064,angle135-x0000,y0000
id064,angle180-x0000,y0000
id064,angle225-x0000,y0000
id064,angle270-x0000,y0000
id064,angle315-x0000,y0000
id065,angle000-x0000,y0000
id065,angle045-x0000,y0000
id065,angle090-x0000,y0000
id065,angle135-x0000,y0000
id065,angle180-x0772,y1336
id065,angle225-x0757,y1368
id065,angle270-x0583,y1396
id065,angle315-x0397,y1385
id066,angle000-x0000,y0000
id066,angle045-x0000,y0000
id066,angle090-x0000,y0000
id066,angle135-x0000,y0000
id066,angle180-x0820,y1338
id066,angle225-x0839,y1377
id066,angle270-x0663,y1425
id066,angle315-x0405,y1427
id067,angle000-x0000,y0000
id067,angle045-x0000,y0000
id067,angle090-x0000,y0000
id067,angle135-x0000,y0000
id067,angle180-x0000,y0000
id067,angle225-x0807,y1320
id067,angle270-x0661,y1359
id067,angle315-x0431,y1336
id068,angle000-x0247,y1374
id068,angle045-x0000,y0000
id068,angle090-x0000,y0000
id068,angle135-x0000,y0000
id068,angle180-x0000,y0000
id068,angle225-x0000,y0000
id068,angle270-x0736,y1412
id068,angle315-x0486,y1425
id069,angle000-x0269,y1392
id069,angle045-x0000,y0000
id069,angle090-x0000,y0000
id069,angle135-x0000,y0000
id069,angle180-x0000,y0000
id069,angle225-x0000,y0000
id069,angle270-x0766,y1403
id069,angle315-x0547,y1426
id070,angle000-x0280,y1401
id070,angle045-x0000,y0000
id070,angle090-x0000,y0000
id070,angle135-x0000,y0000
id070,angle180-x0000,y0000
id070,angle225-x0000,y0000
id070,angle270-x0807,y1394
id070,angle315-x0599,y1427
id071,angle000-x0309,y1405
id071,angle045-x0000,y0000
id071,angle090-x0000,y0000
id071,angle135-x0000,y0000
id071,angle180-x0000,y0000
id071,angle225-x0000,y0000
id071,angle270-x0841,y1383
id071,angle315-x0662,y1427
id072,angle000-x0351,y1394
id072,angle045-x0000,y0000
id072,angle090-x0000,y0000
id072,angle135-x0000,y0000
id072,angle180-x0000,y0000
id072,angle225-x0000,y0000
id072,angle270-x0845,y1356
id072,angle315-x0700,y1395
id073,angle000-x0370,y1377
id073,angle045-x0200,y1342
id073,angle090-x0000,y0000
id073,angle135-x0000,y0000
id073,angle180-x0000,y0000
id073,angle225-x0796,y1269
id073,angle270-x0896,y1320
id073,angle315-x0777,y1375
id074,angle000-x0434,y1381
id074,angle045-x0243,y1347
id074,angle090-x0000,y0000
id074,angle135-x0000,y0000
id074,angle180-x0000,y0000
id074,angle225-x0000,y0000
id074,angle270-x0000,y0000
id074,angle315-x0800,y1360
id075,angle000-x0483,y1346
id075,angle045-x0320,y1337
id075,angle090-x0000,y0000
id075,angle135-x0000,y0000
id075,angle180-x0000,y0000
id075,angle225-x0000,y0000
id075,angle270-x0000,y0000
id075,angle315-x0767,y1327
id076,angle000-x0538,y1333
id076,angle045-x0000,y0000
id076,angle090-x0000,y0000
id076,angle135-x0000,y0000
id076,angle180-x0000,y0000
id076,angle225-x0000,y0000
id076,angle270-x0000,y0000
id076,angle315-x0829,y1300
id077,angle000-x0598,y1306
id077,angle045-x0362,y1299
id077,angle090-x0238,y1259
id077,angle135-x0000,y0000
id077,angle180-x0000,y0000
id077,angle225-x0000,y0000
id077,angle270-x0000,y0000
id077,angle315-x0839,y1271
id078,angle000-x0637,y1303
id078,angle045-x0000,y0000
id078,angle090-x0000,y0000
id078,angle135-x0000,y0000
id078,angle180-x0000,y0000
id078,angle225-x0000,y0000
id078,angle270-x0000,y0000
id078,angle315-x0000,y0000
id079,angle000-x0696,y1275
id079,angle045-x0446,y1282
id079,angle090-x0231,y1252
id079,angle135-x0000,y0000
id079,angle180-x0000,y0000
id079,angle225-x0000,y0000
id079,angle270-x0000,y0000
id079,angle315-x0858,y1234
id080,angle000-x0728,y1271
id080,angle045-x0523,y1300
id080,angle090-x0280,y1276
id080,angle135-x0277,y1237
id080,angle180-x0000,y0000
id080,angle225-x0000,y0000
id080,angle270-x0000,y0000
id080,angle315-x0823,y1243
id081,angle000-x0787,y1236
id081,angle045-x0557,y1250
id081,angle090-x0259,y1234
id081,angle135-x0235,y1199
id081,angle180-x0000,y0000
id081,angle225-x0000,y0000
id081,angle270-x0000,y0000
id081,angle315-x0852,y1196
id082,angle000-x0784,y1277
id082,angle045-x0589,y1297
id082,angle090-x0308,y1280
id082,angle135-x0000,y0000
id082,angle180-x0000,y0000
id082,angle225-x0000,y0000
id082,angle270-x0000,y0000
id082,angle315-x0000,y0000
id083,angle000-x0799,y1292
id083,angle045-x0621,y1315
id083,angle090-x0326,y1300
id083,angle135-x0000,y0000
id083,angle180-x0000,y0000
id083,angle225-x0000,y0000
id083,angle270-x0000,y0000
id083,angle315-x0000,y0000
id084,angle000-x0821,y1312
id084,angle045-x0679,y1341
id084,angle090-x0371,y1341
id084,angle135-x0244,y1301
id084,angle180-x0000,y0000
id084,angle225-x0000,y0000
id084,angle270-x0000,y0000
id084,angle315-x0000,y0000
id085,angle000-x0846,y1308
id085,angle045-x0716,y1344
id085,angle090-x0392,y1345
id085,angle135-x0231,y1308
id085,angle180-x0000,y0000
id085,angle225-x0000,y0000
id085,angle270-x0611,y1242
id085,angle315-x0000,y0000
id086,angle000-x0839,y1284
id086,angle045-x0747,y1305
id086,angle090-x0445,y1331
id086,angle135-x0256,y1301
id086,angle180-x0000,y0000
id086,angle225-x0000,y0000
id086,angle270-x0000,y0000
id086,angle315-x0000,y0000
id087,angle000-x0880,y1273
id087,angle045-x0797,y1312
id087,angle090-x0463,y1329
id087,angle135-x0225,y1294
id087,angle180-x0232,y1257
id087,angle225-x0000,y0000
id087,angle270-x0000,y0000
id087,angle315-x0000,y0000
id088,angle000-x0874,y1277
id088,angle045-x0832,y1316
id088,angle090-x0525,y1342
id088,angle135-x0247,y1315
id088,angle180-x0215,y1273
id088,angle225-x0000,y0000
id088,angle270-x0000,y0000
id088,angle315-x0000,y0000
id089,angle000-x0863,y1436
id089,angle045-x0801,y1382
id089,angle090-x0523,y1409
id089,angle135-x0275,y1379
id089,angle180-x0245,y1335
id089,angle225-x0000,y0000
id089,angle270-x0000,y0000
id089,angle315-x0000,y0000
id090,angle000-x0787,y1318
id090,angle045-x0770,y1355
id090,angle090-x0576,y1385
id090,angle135-x0355,y1368
id090,angle180-x0000,y0000
id090,angle225-x0000,y0000
id090,angle270-x0000,y0000
id090,angle315-x0000,y0000
id091,angle000-x0000,y0000
id091,angle045-x0000,y0000
id091,angle090-x0625,y1430
id091,angle135-x0372,y1422
id091,angle180-x0000,y0000
id091,angle225-x0000,y0000
id091,angle270-x0000,y0000
id091,angle315-x0000,y0000
id092,angle000-x0000,y0000
id092,angle045-x0813,y1374
id092,angle090-x0663,y1420
id092,angle135-x0402,y1424
id092,angle180-x0000,y0000
id092,angle225-x0000,y0000
id092,angle270-x0000,y0000
id092,angle315-x0000,y0000
id093,angle000-x0000,y0000
id093,angle045-x0000,y0000
id093,angle090-x0722,y1403
id093,angle135-x0464,y1421
